amount,frequency,geolocation,device_id,merchant_type,payment_method,is_fraud
37.54,18,US,dev_4723,Pharmacy,Net Banking,0
240.81,7,CA,dev_3047,Fuel,Net Banking,0
105.34,6,CA,dev_4548,Travel,Net Banking,0
73.04,15,US,dev_2690,Fuel,Net Banking,0
13.57,18,GB,dev_8285,Grocery,Debit Card,0
13.57,5,SG,dev_7322,Pharmacy,UPI,0
4.79,19,ZA,dev_7986,Fuel,Debit Card,0
160.9,10,GB,dev_3514,Pharmacy,E-Wallet,0
73.53,4,GB,dev_3400,Clothing,Net Banking,0
98.5,15,GB,dev_6263,Electronics,E-Wallet,0
1.66,6,SG,dev_1793,Grocery,Debit Card,0
280.28,4,DE,dev_2543,Grocery,Net Banking,0
142.91,10,DE,dev_7219,Pharmacy,Debit Card,0
19.1,14,GB,dev_2955,Clothing,Net Banking,0
16.05,2,ZA,dev_7560,Clothing,Debit Card,1
16.21,4,BR,dev_1096,Travel,Credit Card,0
29.02,4,IN,dev_2226,Electronics,UPI,0
59.51,8,DE,dev_8691,Fuel,UPI,0
45.24,14,FR,dev_5938,Travel,Net Banking,0
27.54,2,CA,dev_5307,Fuel,Credit Card,0
75.71,5,SG,dev_2133,Fuel,E-Wallet,0
12.02,16,SG,dev_8705,Fuel,Credit Card,0
27.64,7,IN,dev_9227,Travel,Net Banking,0
36.5,10,DE,dev_3289,Grocery,Credit Card,0
48.71,5,ZA,dev_5711,Clothing,E-Wallet,0
123.03,7,ZA,dev_5593,Grocery,Net Banking,0
17.82,9,CA,dev_3455,Electronics,UPI,0
57.76,2,GB,dev_4634,Travel,Credit Card,0
71.8,13,BR,dev_5417,Electronics,UPI,0
3.81,13,DE,dev_6934,Clothing,UPI,0
74.83,9,ZA,dev_1453,Clothing,Debit Card,1
14.96,11,IN,dev_6561,Restaurants,E-Wallet,0
5.38,5,CA,dev_6106,Electronics,Credit Card,0
237.9,11,US,dev_4331,Grocery,UPI,0
269.65,13,CA,dev_7026,Pharmacy,UPI,0
132.19,1,ZA,dev_4392,Electronics,E-Wallet,0
29.06,8,US,dev_8551,Travel,UPI,0
8.22,9,FR,dev_8203,Clothing,UPI,0
92.22,16,AU,dev_7764,Clothing,UPI,0
46.41,16,CA,dev_9047,Electronics,UPI,0
10.41,2,IN,dev_6799,Electronics,Debit Card,0
54.68,18,IN,dev_4875,Fuel,Debit Card,0
2.8,0,BR,dev_5820,Electronics,Net Banking,0
192.03,11,GB,dev_9977,Fuel,Credit Card,0
23.96,6,CA,dev_3308,Travel,E-Wallet,0
86.9,3,ZA,dev_8936,Travel,Net Banking,0
29.88,9,AU,dev_3997,Grocery,Debit Card,0
58.73,12,DE,dev_9835,Electronics,Debit Card,0
63.3,1,ZA,dev_3539,Grocery,Debit Card,0
16.35,9,IN,dev_6687,Pharmacy,Net Banking,0
